BS.pilon.polished.v3.ST170922	4045677	79354	0
Enterococcus_faecalis_complete_genome	2845392	94381	0
Escherichia_coli_plasmid	110007	2406	0
Escherichia_coli_chromosome	4765434	48769	0
Listeria_monocytogenes_complete_genome	2992342	97673	0
Pseudomonas_aeruginosa_complete_genome	6792330	9569	0
tig00000001	1480242	1697	0
tig00000003	1076883	1270	0
tig00000004	35928	55	0
tig00000006	31970	77	0
tig00000011	600792	635	0
tig00000018	917307	1005	0
tig00000019	27658	38	0
tig00000023	925498	1045	0
tig00000025	38296	70	0
tig00000027	19757	14	0
tig00000031	804008	965	0
tig00000036	594803	751	0
tig00000038	26519	25	0
tig00000042	109577	193	0
tig00000047	216206	267	0
tig00000050	22875	40	0
tig00000051	585628	758	0
tig00000054	55314	91	0
tig00000055	504900	593	0
tig00000063	434336	487	0
tig00000069	424689	492	0
tig00000071	533141	605	0
tig00000072	533263	606	0
tig00000075	30702	55	0
tig00000078	35177	53	0
tig00000079	23545	19	0
tig00000080	33201	76	0
tig00000086	29545	38	0
tig00000091	39955	29	0
tig00000093	21830	45	0
tig00000094	141700	153	0
tig00000096	24495	40	0
tig00000104	214050	221	0
tig00000105	43063	58	0
tig00000109	106136	739	0
tig00000114	40794	40	0
tig00000123	35341	70	0
tig00000125	90361	97	0
tig00000128	221325	303	0
tig00000132	61311	73	0
tig00000134	29290	22	0
tig00000136	97651	194	0
tig00000139	169574	204	0
tig00000140	181554	240	0
tig00000161	80695	125	0
tig00000163	28985	296	0
tig00000172	33275	59	0
tig00000304	21898	23	0
tig00000306	370547	478	0
tig00000307	40309	67	0
tig00000308	597455	849	0
Salmonella_enterica_complete_genome	4759746	29248	0
Staphylococcus_aureus_chromosome	2718780	120925	0
Staphylococcus_aureus_plasmid1	6337	7191	0
Staphylococcus_aureus_plasmid2	2216	457	0
Staphylococcus_aureus_plasmid3	2993	996	0
*	0	0	646
