BS.pilon.polished.v3.ST170922	4045677	50759	0
Enterococcus_faecalis_complete_genome	2845392	55841	0
Escherichia_coli_plasmid	110007	1577	0
Escherichia_coli_chromosome	4765434	30869	0
Listeria_monocytogenes_complete_genome	2992342	59374	0
Pseudomonas_aeruginosa_complete_genome	6792330	2295	0
tig00000001	1480242	962	0
tig00000003	1076883	667	0
tig00000004	35928	23	0
tig00000006	31970	54	0
tig00000011	600792	379	0
tig00000018	917307	633	0
tig00000019	27658	22	0
tig00000023	925498	614	0
tig00000025	38296	22	0
tig00000027	19757	6	0
tig00000031	804008	598	0
tig00000036	594803	415	0
tig00000038	26519	18	0
tig00000042	109577	126	0
tig00000047	216206	158	0
tig00000050	22875	17	0
tig00000051	585628	418	0
tig00000054	55314	48	0
tig00000055	504900	322	0
tig00000063	434336	278	0
tig00000069	424689	306	0
tig00000071	533141	384	0
tig00000072	533263	373	0
tig00000075	30702	30	0
tig00000078	35177	33	0
tig00000079	23545	24	0
tig00000080	33201	39	0
tig00000086	29545	22	0
tig00000091	39955	21	0
tig00000093	21830	23	0
tig00000094	141700	78	0
tig00000096	24495	19	0
tig00000104	214050	141	0
tig00000105	43063	25	0
tig00000109	106136	460	0
tig00000114	40794	25	0
tig00000123	35341	34	0
tig00000125	90361	65	0
tig00000128	221325	209	0
tig00000132	61311	46	0
tig00000134	29290	10	0
tig00000136	97651	121	0
tig00000139	169574	137	0
tig00000140	181554	125	0
tig00000161	80695	76	0
tig00000163	28985	177	0
tig00000172	33275	40	0
tig00000304	21898	11	0
tig00000306	370547	272	0
tig00000307	40309	25	0
tig00000308	597455	515	0
Salmonella_enterica_complete_genome	4759746	17498	0
Staphylococcus_aureus_chromosome	2718780	71273	0
Staphylococcus_aureus_plasmid1	6337	5700	0
Staphylococcus_aureus_plasmid2	2216	381	0
Staphylococcus_aureus_plasmid3	2993	864	0
*	0	0	333
